sdf,area,t,u,u__x,u__t,u__x__x,u__t__t,wave_equation,true_wave_equation,pred_wave_equation,lambda_wave_equation,Points_0,Points_1,Points_2
0.007377303,0.000997331,0.4304872,0.0098404605,-1.3262928,0.003994204,-0.010854481,-0.010206861,0.00064761937,0.0,0.00064761937,1.0,3.1342154,0.0,0.0
0.64422864,0.000997331,5.1685243,-0.27443483,0.36557907,0.80312586,0.27143973,0.27133048,-0.000109255314,0.0,-0.000109255314,1.0,2.497364,0.0,0.0
1.1094743,0.000997331,3.65416,-1.2196076,0.6053156,-0.34160107,1.2177335,1.218189,0.0004554987,0.0,0.0004554987,1.0,2.0321183,0.0,0.0
1.43447,0.000997331,2.3595366,-0.0048357034,-0.00073794276,-1.4016116,0.0042461324,0.004255849,9.716488e-06,0.0,9.716488e-06,1.0,1.43447,0.0,0.0
0.43745837,0.000997331,4.9858527,-0.29322278,0.62716055,0.5219307,0.28924182,0.28888434,-0.00035747886,0.0,-0.00035747886,1.0,2.7041342,0.0,0.0
1.4133313,0.000997331,5.0248327,-0.63663876,0.10139686,1.2442923,0.6386071,0.6386267,1.9609928e-05,0.0,1.9609928e-05,1.0,1.7282615,0.0,0.0
0.44820258,0.000997331,4.4458814,-0.5321646,-1.1065482,0.30525458,0.53386784,0.5336683,-0.00019955635,0.0,-0.00019955635,1.0,0.44820258,0.0,0.0
0.79625785,0.000997331,4.7118883,-0.71484256,-0.7003974,0.7146764,0.7133343,0.71352863,0.00019431114,0.0,0.00019431114,1.0,0.79625785,0.0,0.0
1.3733152,0.000997331,3.6882076,-1.3473411,-0.26892665,-0.32728988,1.3452697,1.3454517,0.00018203259,0.0,0.00018203259,1.0,1.3733152,0.0,0.0
0.40035984,0.000997331,4.918642,-0.3010501,-0.712865,0.46200395,0.2963382,0.29651695,0.00017875433,0.0,0.00017875433,1.0,0.40035984,0.0,0.0
1.1287307,0.000997331,5.5691853,0.09143071,-0.04349938,1.2752137,-0.09432955,-0.0941934,0.00013615191,0.0,0.00013615191,1.0,2.012862,0.0,0.0
1.4810966,0.000997331,4.628561,-1.0763614,0.096327156,0.9085365,1.0789449,1.079292,0.00034713745,0.0,0.00034713745,1.0,1.660496,0.0,0.0
0.48566708,0.000997331,2.809515,-0.28916714,-0.5472295,-0.5931225,0.28834763,0.28843367,8.6039305e-05,0.0,8.6039305e-05,1.0,0.48566708,0.0,0.0
0.8894256,0.000997331,1.9554901,0.42809477,0.34758466,-1.0115006,-0.42578888,-0.42597145,-0.00018256903,0.0,-0.00018256903,1.0,0.8894256,0.0,0.0
0.27811027,0.000997331,2.824563,-0.17543006,-0.6133818,-0.34633052,0.17612112,0.17600037,-0.00012074411,0.0,-0.00012074411,1.0,0.27811027,0.0,0.0
0.38071978,0.000997331,2.5403616,-0.09596587,0.2406482,-0.5161757,0.09354597,0.09381789,0.0002719164,0.0,0.0002719164,1.0,2.7608728,0.0,0.0
0.82902735,0.000997331,6.19381,0.66853464,-0.61159724,0.80199087,-0.65886736,-0.65922505,-0.00035768747,0.0,-0.00035768747,1.0,2.3125653,0.0,0.0
